id,created_at,text
1201132855620984833x,2019-12-01 13:36:03,b'RT @MapsMaponyane: The Homie @Casey is here too \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe \xf0\x9f\x8f\x8e\xf0\x9f\x92\xa8\xf0\x9f\x92\xa8\xf0\x9f\x92\xa8 #AbuDhabiGP https://t.co/6FvJ5nw8BG'
1201078805177274368x,2019-12-01 10:01:16,b'nice https://t.co/KO23aabaaU'
1201037128303599616x,2019-12-01 07:15:40,b'@DillonFrancis *us'
1201036728594845696x,2019-12-01 07:14:04,b'@candicepool I haven\xe2\x80\x99t clogged in years.  Plus you said I look sexy in clogs.'
1201036287031087104x,2019-12-01 07:12:19,b'@JOSH_BENNY I remember'
1201030317311700992x,2019-12-01 06:48:36,b'my wife https://t.co/44nUfjsASt'
1201023000746831872x,2019-12-01 06:19:31,b'RT @MKBHD: 1 month left in this decade.'
1200974358056968193x,2019-12-01 03:06:14,b'also the answer is no. no you can\xe2\x80\x99t fly a drone here. https://t.co/xkVMI7nT8G'
1200973896494854144x,2019-12-01 03:04:24,b'morning from Abu Dhabi! https://t.co/kZfBKIYYjw'
1200816969114685440x,2019-11-30 16:40:50,b'@ryantaylorbmx Abu Dhabi'
1200806585741774851x,2019-11-30 15:59:34,b'that\xe2\x80\x99s my brother in The Irishman ! https://t.co/klpuNYnaMj'
